web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href,link-location-address-locality,link-location-address-locality-href,link-location-address-region,link-location-address-region-href
"1584542036-989","https://locations.dignityhealth.org/","Pediatrics Department - California Hospital Medical Center - Los Angeles","1401 S Grand Ave","null","CA","90015","(888) 742-2462","Pediatrics Department - California Hospital Medical Center - Los Angeles","https://locations.dignityhealth.org/pediatrics-department-california-hospital-medical-center-los-angeles-los-angeles-ca","Los Angeles","https://locations.dignityhealth.org/los-angeles-ca","California","https://locations.dignityhealth.org/california"
"1584542044-1034","https://locations.dignityhealth.org/","Dignity Health Medical Group - Hematology & Oncology","155 Glasson Way","Grass Valley","CA","95945","(530) 274-6677","Dignity Health Medical Group - Hematology & Oncology","https://locations.dignityhealth.org/dignity-health-medical-group-hematology-&-oncology-grass-valley-ca","Grass Valley","https://locations.dignityhealth.org/grass-valley-ca","California","https://locations.dignityhealth.org/california"
"1584541953-659","https://locations.dignityhealth.org/","Dignity Health Medical Group - Dominican Urgent Care","1820 41st Avenue","Capitola","CA","95010","(831) 684-7611","Dignity Health Medical Group - Dominican Urgent Care","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-urgent-care-capitola-ca","Watsonville","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-watsonville-ca","California","https://locations.dignityhealth.org/california"
"1584541948-653","https://locations.dignityhealth.org/","Woodland Memorial Hospital Pulmonary Rehabilitation Program","1325 Cottonwood Street","null","CA","95695","(530) 662-3961","Woodland Memorial Hospital Pulmonary Rehabilitation Program","https://locations.dignityhealth.org/woodland-memorial-hospital-pulmonary-rehabilitation-program-woodland-ca","Woodland","https://locations.dignityhealth.org/woodland-ca","California","https://locations.dignityhealth.org/california"
"1584542023-952","https://locations.dignityhealth.org/","Mercy Medical Center Mt. Shasta","914 Pine Street","null","CA","96067","(530) 926-6111","Mercy Medical Center Mt. Shasta","https://locations.dignityhealth.org/mercy-medical-center-mt-shasta-mount-shasta-ca","Mt. Shasta","https://locations.dignityhealth.org/mercy-hospice-mt-shasta-mt-shasta-ca","California","https://locations.dignityhealth.org/california"
"1584542003-918","https://locations.dignityhealth.org/","St. John's Outpatient Therapy Center-Oxnard","961 Rice Avenue","Oxnard","CA","93030","(805) 988-2874","St. John's Outpatient Therapy Center-Oxnard","https://locations.dignityhealth.org/st-john's-outpatient-therapy-center-oxnard-oxnard-ca","Oxnard","https://locations.dignityhealth.org/oxnard-ca","California","https://locations.dignityhealth.org/california"
"1584541972-755","https://locations.dignityhealth.org/","Hearst Cancer Resource Center","1941 Johnson Avenue","San Luis Obispo","CA","93401","(805) 542-6234","Hearst Cancer Resource Center","https://locations.dignityhealth.org/hearst-cancer-resource-center-san-luis-obispo-ca","San Luis Obispo","https://locations.dignityhealth.org/san-luis-obispo-ca","California","https://locations.dignityhealth.org/california"
"1584541948-644","https://locations.dignityhealth.org/","Dignity Health Medical Foundation - East Woodland","2081 Bronze Star Drive","null","CA","95776","(530) 668-2600","Dignity Health Medical Foundation - East Woodland","https://locations.dignityhealth.org/dignity-health-medical-foundation-east-woodland-woodland-ca","Woodland","https://locations.dignityhealth.org/woodland-ca","California","https://locations.dignityhealth.org/california"
"1584542118-1194","https://locations.dignityhealth.org/","Dignity Health Medical Group Family Medicine - St. Joseph’s","2927 N 7th Ave","null","AZ","85013","(602) 406-3153","Dignity Health Medical Group Family Medicine - St. Joseph’s","https://locations.dignityhealth.org/dignity-health-medical-group-family-medicine-st-joseph%E2%80%99s-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542118-1195","https://locations.dignityhealth.org/","Dignity Health Medical Group Internal Medicine - St. Joseph’s","500 W Thomas Rd","Phoenix","AZ","85013","(602) 406-3540","Dignity Health Medical Group Internal Medicine - St. Joseph’s","https://locations.dignityhealth.org/dignity-health-medical-group-internal-medicine-st-joseph%E2%80%99s-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542018-934","https://locations.dignityhealth.org/","Family Birth Center - Northridge Hospital Medical Center - Northridge","18300 Roscoe Blvd","null","CA","91325","(818) 885-5434","Family Birth Center - Northridge Hospital Medical Center - Northridge","https://locations.dignityhealth.org/family-birth-center-northridge-hospital-medical-center-northridge-northridge-ca","Northridge","https://locations.dignityhealth.org/northridge-ca","California","https://locations.dignityhealth.org/california"
"1584542139-1236","https://locations.dignityhealth.org/","Emergency Room at Arizona General Hospital - Gilbert","4760 E Germann Rd","null","AZ","85297","(602) 900-4870","Emergency Room at Arizona General Hospital - Gilbert","https://locations.dignityhealth.org/emergency-room-at-arizona-general-hospital-gilbert-gilbert-az","Gilbert","https://locations.dignityhealth.org/gilbert-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542139-1237","https://locations.dignityhealth.org/","Mercy Gilbert Medical Center","3555 S Val Vista Dr","null","AZ","85297","(480) 728-8000","Mercy Gilbert Medical Center","https://locations.dignityhealth.org/mercy-gilbert-medical-center-gilbert-az","Gilbert","https://locations.dignityhealth.org/gilbert-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542143-1249","https://locations.dignityhealth.org/","Emergency Room - Chandler Regional Medical Center","1955 W Frye Rd","null","AZ","85224","(480) 728-3000","Emergency Room - Chandler Regional Medical Center","https://locations.dignityhealth.org/emergency-room-chandler-regional-medical-center-chandler-az","Chandler","https://locations.dignityhealth.org/chandler-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584541970-738","https://locations.dignityhealth.org/","Dominican Hospital Imaging & Radiology Department","1555 Soquel Dr","null","CA","95065","(831) 462-7716","Dominican Hospital Imaging & Radiology Department","https://locations.dignityhealth.org/dominican-hospital-imaging-&-radiology-department-santa-cruz-ca","Santa Cruz","https://locations.dignityhealth.org/santa-cruz-ca","California","https://locations.dignityhealth.org/california"
"1584542097-1167","https://locations.dignityhealth.org/","Angels Camp Medical Clinic","590 Stanislaus Ave","null","CA","95222","(209) 736-0813","Angels Camp Medical Clinic","https://locations.dignityhealth.org/angels-camp-medical-clinic-angels-camp-ca","Arnold","https://locations.dignityhealth.org/arnold-medical-clinic-arnold-ca","California","https://locations.dignityhealth.org/california"
"1584542038-1020","https://locations.dignityhealth.org/","St. Mary Medical Center Perinatal Clinic","1050 Linden Ave.","Long Beach","CA","90813","(562) 491-9000","St. Mary Medical Center Perinatal Clinic","https://locations.dignityhealth.org/st-mary-medical-center-perinatal-clinic-long-beach-ca","Long Beach","https://locations.dignityhealth.org/long-beach-ca","California","https://locations.dignityhealth.org/california"
"1584542082-1129","https://locations.dignityhealth.org/","Connected Living","100 Mercy Oaks Dr","Redding","CA","96003","(530) 223-6034","Connected Living","https://locations.dignityhealth.org/connected-living-redding-ca-Nstate_17","Burney","https://locations.dignityhealth.org/connected-living-burney-services-burney-ca","California","https://locations.dignityhealth.org/california"
"1584541983-850","https://locations.dignityhealth.org/","Outpatient Infusion","4001 J Street","null","CA","95819","(916) 453-4422","Outpatient Infusion","https://locations.dignityhealth.org/outpatient-infusion-sacramento-ca","Sacramento","https://locations.dignityhealth.org/sacramento-ca","California","https://locations.dignityhealth.org/california"
"1584541974-788","https://locations.dignityhealth.org/","St. Mary's Medical Center Cancer Center","2250 Hayes St","San Francisco","CA","94117","(415) 750-2900","St. Mary's Medical Center Cancer Center","https://locations.dignityhealth.org/st-mary's-medical-center-cancer-center-san-francisco-ca","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584541983-840","https://locations.dignityhealth.org/","Mercy Medical Group - Behavioral Health","1792 Tribute Rd","Sacramento","CA","95815","(916) 924-6400","Mercy Medical Group - Behavioral Health","https://locations.dignityhealth.org/mercy-medical-group-behavioral-health-sacramento-ca","Sacramento","https://locations.dignityhealth.org/sacramento-ca","California","https://locations.dignityhealth.org/california"
"1584541950-655","https://locations.dignityhealth.org/","Mercy Lake Shastina Community Clinic","16337 Everhart Drive","null","CA","96094","(530) 938-2297","Mercy Lake Shastina Community Clinic","https://locations.dignityhealth.org/mercy-lake-shastina-community-clinic-weed-ca","Weed","https://locations.dignityhealth.org/weed-ca","California","https://locations.dignityhealth.org/california"
"1584542078-1117","https://locations.dignityhealth.org/","Mercy Medical Group - Hawks Flight, Primary and Specialty Care","1264 Hawks Flight Court","El Dorado Hills","CA","95762","(916) 939-8400","Mercy Medical Group - Hawks Flight, Primary and Specialty Care","https://locations.dignityhealth.org/mercy-medical-group-hawks-flight-primary-and-specialty-care-el-dorado-hills-ca","Cameron Park","https://locations.dignityhealth.org/mercy-medical-group-cameron-park-primary-and-pediatric-care-cameron-park-ca","California","https://locations.dignityhealth.org/california"
"1584541948-643","https://locations.dignityhealth.org/","Diagnostic Imaging - Woodland","632 W Gibson Rd","null","CA","95695","(530) 668-2632","Diagnostic Imaging - Woodland","https://locations.dignityhealth.org/diagnostic-imaging-woodland-woodland-ca","Woodland","https://locations.dignityhealth.org/woodland-ca","California","https://locations.dignityhealth.org/california"
"1584542018-926","https://locations.dignityhealth.org/","Center for Assault Treatment Services - Northridge Hospital Medical Center - Northridge","18300 Roscoe Blvd","null","CA","91325","(818) 908-8632","Center for Assault Treatment Services - Northridge Hospital Medical Center - Northridge","https://locations.dignityhealth.org/center-for-assault-treatment-services-northridge-hospital-medical-center-northridge-northridge-ca","Northridge","https://locations.dignityhealth.org/northridge-ca","California","https://locations.dignityhealth.org/california"
"1584541998-905","https://locations.dignityhealth.org/","Ventana Health Center","901 N Oak Park Blvd","Pismo Beach","CA","93449","(805) 481-2205","Ventana Health Center","https://locations.dignityhealth.org/ventana-health-center-pismo-beach-ca","Pismo Beach","https://locations.dignityhealth.org/pismo-beach-ca","California","https://locations.dignityhealth.org/california"
"1584541979-803","https://locations.dignityhealth.org/","Children's Subacute Center - Community Hospital of San Bernardino - San Bernardino","1805 Medical Center Dr","null","CA","92411","(909) 887-6481","Children's Subacute Center - Community Hospital of San Bernardino - San Bernardino","https://locations.dignityhealth.org/children's-subacute-center-community-hospital-of-san-bernardino-san-bernardino-san-bernardino-ca","San Bernardino","https://locations.dignityhealth.org/san-bernardino-ca","California","https://locations.dignityhealth.org/california"
"1584541983-854","https://locations.dignityhealth.org/","Sacramento Midtown Endoscopy Center","3941 J Street","Sacramento","CA","95819","(916) 453-4417","Sacramento Midtown Endoscopy Center","https://locations.dignityhealth.org/sacramento-midtown-endoscopy-center-sacramento-ca","Sacramento","https://locations.dignityhealth.org/sacramento-ca","California","https://locations.dignityhealth.org/california"
"1584542046-1042","https://locations.dignityhealth.org/","Mercy Medical Group - Fair Oaks, Primary Care","8001 Madison Ave","null","CA","95610","(916) 536-2420","Mercy Medical Group - Fair Oaks, Primary Care","https://locations.dignityhealth.org/mercy-medical-group-fair-oaks-primary-care-citrus-heights-ca","Gold River","https://locations.dignityhealth.org/mercy-medical-group-plastic-surgery-&-laser-center-gold-river-ca","California","https://locations.dignityhealth.org/california"
"1584541974-782","https://locations.dignityhealth.org/","Saint Francis Memorial Hospital Health Center","24 Willie Mays Plaza","null","CA","94107","(415) 972-2249","Saint Francis Memorial Hospital Health Center","https://locations.dignityhealth.org/saint-francis-memorial-hospital-health-center-san-francisco-ca","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584542023-950","https://locations.dignityhealth.org/","Mercy Physical Therapy","914 Pine St","null","CA","96067","(530) 926-6111","Mercy Physical Therapy","https://locations.dignityhealth.org/mercy-physical-therapy-mount-shasta-ca","Mt. Shasta","https://locations.dignityhealth.org/mercy-hospice-mt-shasta-mt-shasta-ca","California","https://locations.dignityhealth.org/california"
"1584541965-679","https://locations.dignityhealth.org/","St. Joseph's Behavioral Health Center","2510 N. California St","null","CA","95204","(209) 948-2100","St. Joseph's Behavioral Health Center","https://locations.dignityhealth.org/st-joseph's-behavioral-health-center-stockton-ca","Stockton","https://locations.dignityhealth.org/stockton-ca","California","https://locations.dignityhealth.org/california"
"1584541972-757","https://locations.dignityhealth.org/","Medical Clinic at Higuera","1555 Higuera St.","null","CA","93401","(805) 541-3200","Medical Clinic at Higuera","https://locations.dignityhealth.org/medical-clinic-at-higuera-san-luis-obispo-ca","San Luis Obispo","https://locations.dignityhealth.org/san-luis-obispo-ca","California","https://locations.dignityhealth.org/california"
"1584541996-901","https://locations.dignityhealth.org/","Dignity Health Medical Group - Women's Health Center","1700 N. Rose Ave.","Oxnard","CA","93030","(805) 383-5270","Dignity Health Medical Group - Women's Health Center","https://locations.dignityhealth.org/dignity-health-medical-group-women's-health-center-oxnard-ca","Port Hueneme","https://locations.dignityhealth.org/st-john's-outpatient-therapy-center-port-hueneme-port-hueneme-ca","California","https://locations.dignityhealth.org/california"
"1584541967-711","https://locations.dignityhealth.org/","Mission Hope Cancer Center - Santa Maria","1325 E Church St","null","CA","93454","(805) 219-4673","Mission Hope Cancer Center - Santa Maria","https://locations.dignityhealth.org/mission-hope-cancer-center-santa-maria-santa-maria-ca","Santa Maria","https://locations.dignityhealth.org/santa-maria-ca","California","https://locations.dignityhealth.org/california"
"1584541974-790","https://locations.dignityhealth.org/","St. Mary's Medical Center Radiology Department","450 Stanyan St","San Francisco","CA","94117","(415) 750-5770","St. Mary's Medical Center Radiology Department","https://locations.dignityhealth.org/st-mary's-medical-center-radiology-department-san-francisco-ca","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584541979-822","https://locations.dignityhealth.org/","Surgical Services - Community Hospital of San Bernardino - San Bernardino","1805 Medical Center Dr","null","CA","92411","(909) 806-1919","Surgical Services - Community Hospital of San Bernardino - San Bernardino","https://locations.dignityhealth.org/surgical-services-community-hospital-of-san-bernardino-san-bernardino-san-bernardino-ca","San Bernardino","https://locations.dignityhealth.org/san-bernardino-ca","California","https://locations.dignityhealth.org/california"
"1584542097-1169","https://locations.dignityhealth.org/","San Andreas Medical Clinic","702 Mountain Ranch Rd.","San Andreas","CA","95249","(209) 754-4564","San Andreas Medical Clinic","https://locations.dignityhealth.org/san-andreas-medical-clinic-san-andreas-ca","Arnold","https://locations.dignityhealth.org/arnold-medical-clinic-arnold-ca","California","https://locations.dignityhealth.org/california"
"1584542033-978","https://locations.dignityhealth.org/","Medical Clinic at Bayview","2238 Bayview Heights Drive","Los Osos","CA","93402","(805) 534-1305","Medical Clinic at Bayview","https://locations.dignityhealth.org/medical-clinic-at-bayview-los-osos-ca","Los Osos","https://locations.dignityhealth.org/los-osos-ca","California","https://locations.dignityhealth.org/california"
"1584542038-1015","https://locations.dignityhealth.org/","Pediatric Clinic - St. Mary Medical Center - Long Beach","529 E 10th St","Long Beach","CA","90813","(562) 548-1641","Pediatric Clinic - St. Mary Medical Center - Long Beach","https://locations.dignityhealth.org/pediatric-clinic-st-mary-medical-center-long-beach-long-beach-ca","Long Beach","https://locations.dignityhealth.org/long-beach-ca","California","https://locations.dignityhealth.org/california"
"1584542137-1227","https://locations.dignityhealth.org/","Dignity Health Norton Thoracic Institute - Glendale","7330 N 99th Ave","Glendale","AZ","85305","(602) 406-4000","Dignity Health Norton Thoracic Institute - Glendale","https://locations.dignityhealth.org/dignity-health-norton-thoracic-institute-glendale-glendale-az","Glendale","https://locations.dignityhealth.org/glendale-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542003-916","https://locations.dignityhealth.org/","Emergency Room - St. John's Regional Medical Center","1600 N. Rose Ave.","null","CA","93030","(805) 988-2500","Emergency Room - St. John's Regional Medical Center","https://locations.dignityhealth.org/emergency-room-st-john's-regional-medical-center-oxnard-ca","Oxnard","https://locations.dignityhealth.org/oxnard-ca","California","https://locations.dignityhealth.org/california"
"1584541967-696","https://locations.dignityhealth.org/","Emergency Room - Marian Regional Medical Center","1400 E Church St","null","CA","93454","(805) 739-3000","Emergency Room - Marian Regional Medical Center","https://locations.dignityhealth.org/emergency-room-marian-regional-medical-center-santa-maria-ca","Santa Maria","https://locations.dignityhealth.org/santa-maria-ca","California","https://locations.dignityhealth.org/california"
"1584542074-1113","https://locations.dignityhealth.org/","Specialty Care - Mercy Medical Group - Carmichael, CA","6555 Coyle Ave","null","CA","95608","(916) 536-3500","Specialty Care - Mercy Medical Group - Carmichael, CA","https://locations.dignityhealth.org/specialty-care-mercy-medical-group-carmichael-ca-carmichael-ca","Carmichael","https://locations.dignityhealth.org/carmichael-ca","California","https://locations.dignityhealth.org/california"
"1584541955-660","https://locations.dignityhealth.org/","Dignity Health - GoHealth Urgent Care Piedmont Avenue","3900 Piedmont Ave","null","CA","94611","(415) 432-7899","Dignity Health - GoHealth Urgent Care Piedmont Avenue","https://locations.dignityhealth.org/dignity-health-gohealth-urgent-care-piedmont-avenue-oakland-ca","Walnut Creek","https://locations.dignityhealth.org/saint-francis-memorial-hospital-center-for-sports-medicine-walnut-creek-walnut-creek-ca","California","https://locations.dignityhealth.org/california"
"1584542137-1231","https://locations.dignityhealth.org/","Emergency Room at Arizona General Hospital - Glendale Camelback","8310 W Camelback Rd","null","AZ","85305","(480) 307-9610","Emergency Room at Arizona General Hospital - Glendale Camelback","https://locations.dignityhealth.org/emergency-room-at-arizona-general-hospital-glendale-camelback-glendale-az","Glendale","https://locations.dignityhealth.org/glendale-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542118-1207","https://locations.dignityhealth.org/","Dignity Health Urgent Care in Ahwatukee","4545 E Chandler Blvd","null","AZ","85048","(480) 728-4000","Dignity Health Urgent Care in Ahwatukee","https://locations.dignityhealth.org/dignity-health-urgent-care-in-ahwatukee-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584541967-699","https://locations.dignityhealth.org/","Hancock Health Center","116 S Palisade Dr","Santa Maria","CA","93454","(805) 739-3968","Hancock Health Center","https://locations.dignityhealth.org/hancock-health-center-santa-maria-ca","Santa Maria","https://locations.dignityhealth.org/santa-maria-ca","California","https://locations.dignityhealth.org/california"
"1584542038-999","https://locations.dignityhealth.org/","da Vinci Si Robotic Surgery - St. Mary Medical Center - Long Beach","1050 Linden Ave","null","CA","90813","(562) 491-4895","da Vinci Si Robotic Surgery - St. Mary Medical Center - Long Beach","https://locations.dignityhealth.org/da-vinci-si-robotic-surgery-st-mary-medical-center-long-beach-long-beach-ca","Long Beach","https://locations.dignityhealth.org/long-beach-ca","California","https://locations.dignityhealth.org/california"
"1584542074-1110","https://locations.dignityhealth.org/","Mercy Medical Group, Carmichael Urology and Endocrinology","6620 Coyle Avenue","Carmichael","CA","95608","(916) 961-2514","Mercy Medical Group, Carmichael Urology and Endocrinology","https://locations.dignityhealth.org/mercy-medical-group-carmichael-urology-and-endocrinology-carmichael-ca","Carmichael","https://locations.dignityhealth.org/carmichael-ca","California","https://locations.dignityhealth.org/california"
"1584542061-1085","https://locations.dignityhealth.org/","Dignity Health Medical Foundation - Woodland and Davis, Primary Care","2330 West Covell Boulevard","null","CA","95616","(530) 668-2600","Dignity Health Medical Foundation - Woodland and Davis, Primary Care","https://locations.dignityhealth.org/dignity-health-medical-foundation-woodland-and-davis-primary-care-davis-ca","Davis","https://locations.dignityhealth.org/davis-ca","California","https://locations.dignityhealth.org/california"
"1584541981-826","https://locations.dignityhealth.org/","Mark Twain Heart Center","768 Mountain Ranch Rd","null","CA","95249","(209) 754-2643","Mark Twain Heart Center","https://locations.dignityhealth.org/mark-twain-heart-center-san-andreas-ca","San Andreas","https://locations.dignityhealth.org/san-andreas-ca","California","https://locations.dignityhealth.org/california"
"1584541944-627","https://locations.dignityhealth.org/","Dignity Health - St. Rose Dominican Hospital, Rose de Lima Campus - Henderson, NV","102 E Lake Mead Pkwy","null","NV","89015","(702) 564-2622","Dignity Health - St. Rose Dominican Hospital, Rose de Lima Campus - Henderson, NV","https://locations.dignityhealth.org/dignity-health-st-rose-dominican-hospital-rose-de-lima-campus-henderson-nv-henderson-nv","Henderson","https://locations.dignityhealth.org/henderson-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584542097-1170","https://locations.dignityhealth.org/","Mark Twain Heart Center","768 Mountain Ranch Rd","null","CA","95249","(209) 754-2643","Mark Twain Heart Center","https://locations.dignityhealth.org/mark-twain-heart-center-san-andreas-ca","Arnold","https://locations.dignityhealth.org/arnold-medical-clinic-arnold-ca","California","https://locations.dignityhealth.org/california"
"1584541967-700","https://locations.dignityhealth.org/","Los Padres Specialty Center - Santa Maria, CA","116 S Palisade Dr","Santa Maria","CA","93454","(805) 614-2095","Los Padres Specialty Center - Santa Maria, CA","https://locations.dignityhealth.org/los-padres-specialty-center-santa-maria-ca-santa-maria-ca","Santa Maria","https://locations.dignityhealth.org/santa-maria-ca","California","https://locations.dignityhealth.org/california"
"1584542143-1246","https://locations.dignityhealth.org/","Dignity Health Medical Group Surgical Specialties - Chandler Regional","485 S Dobson Rd","Chandler","AZ","85224","(480) 728-4700","Dignity Health Medical Group Surgical Specialties - Chandler Regional","https://locations.dignityhealth.org/dignity-health-medical-group-surgical-specialties-chandler-regional-chandler-az","Chandler","https://locations.dignityhealth.org/chandler-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584541974-769","https://locations.dignityhealth.org/","Dignity Health-GoHealth Urgent Care Castro","2288 Market St","null","CA","94114","(415) 964-4855","Dignity Health-GoHealth Urgent Care Castro","https://locations.dignityhealth.org/dignity-health-gohealth-urgent-care-castro-san-francisco-ca","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584542092-1155","https://locations.dignityhealth.org/","Dignity Health Urgent Care Atascadero","5920 W Mall","null","CA","93422","(805) 461-2131","Dignity Health Urgent Care Atascadero","https://locations.dignityhealth.org/dignity-health-urgent-care-atascadero-atascadero-ca","Atascadero","https://locations.dignityhealth.org/atascadero-ca","California","https://locations.dignityhealth.org/california"
"1584542090-1140","https://locations.dignityhealth.org/","Emergency Room - Memorial Hospital","420 34th St","null","CA","93301","(661) 327-4647","Emergency Room - Memorial Hospital","https://locations.dignityhealth.org/emergency-room-memorial-hospital-bakersfield-ca","Bakersfield","https://locations.dignityhealth.org/bakersfield-ca","California","https://locations.dignityhealth.org/california"
"1584541974-781","https://locations.dignityhealth.org/","Saint Francis Memorial Hospital Center Radiology Department","900 Hyde St.","San Francisco","CA","94109","(415) 353-6390","Saint Francis Memorial Hospital Center Radiology Department","https://locations.dignityhealth.org/saint-francis-memorial-hospital-center-radiology-department-san-francisco-ca-BAY_44","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584541944-638","https://locations.dignityhealth.org/","St. Rose Standford Clinic - Neurosurgery Program - Henderson, NV","2865 Siena Heights Dr","Henderson","NV","89052","(702) 616-6580","St. Rose Standford Clinic - Neurosurgery Program - Henderson, NV","https://locations.dignityhealth.org/st-rose-standford-clinic-neurosurgery-program-henderson-nv-henderson-nv","Henderson","https://locations.dignityhealth.org/henderson-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584542090-1137","https://locations.dignityhealth.org/","Dignity Health Medical Group - Bakersfield","3838 San Dimas Street","Bakersfield","CA","93301","(661) 654-0200","Dignity Health Medical Group - Bakersfield","https://locations.dignityhealth.org/dignity-health-medical-group-bakersfield-bakersfield-ca-MED_10","Bakersfield","https://locations.dignityhealth.org/bakersfield-ca","California","https://locations.dignityhealth.org/california"
"1584541985-855","https://locations.dignityhealth.org/","Mercy Imaging Center - Roseville","2110 Professional Dr","Roseville","CA","95661","(916) 787-0404","Mercy Imaging Center - Roseville","https://locations.dignityhealth.org/mercy-imaging-center-roseville-roseville-ca","Roseville","https://locations.dignityhealth.org/roseville-ca","California","https://locations.dignityhealth.org/california"
"1584542036-984","https://locations.dignityhealth.org/","Intensive Care Unit - California Hospital Medical Center - Los Angeles","1401 S Grand Ave","null","CA","90015","(213) 770-0276","Intensive Care Unit - California Hospital Medical Center - Los Angeles","https://locations.dignityhealth.org/intensive-care-unit-california-hospital-medical-center-los-angeles-los-angeles-ca","Los Angeles","https://locations.dignityhealth.org/los-angeles-ca","California","https://locations.dignityhealth.org/california"
"1584541979-819","https://locations.dignityhealth.org/","Pediatrics Department - Community Hospital of San Bernardino - San Bernardino","1805 Medical Center Dr","null","CA","92411","(909) 806-1919","Pediatrics Department - Community Hospital of San Bernardino - San Bernardino","https://locations.dignityhealth.org/pediatrics-department-community-hospital-of-san-bernardino-san-bernardino-san-bernardino-ca","San Bernardino","https://locations.dignityhealth.org/san-bernardino-ca","California","https://locations.dignityhealth.org/california"
"1584541961-668","https://locations.dignityhealth.org/","Dignity Health Medical Group - Ventura","5051 Verdugo Way","Camarillo","CA","93012","(805) 384-8071","Dignity Health Medical Group - Ventura","https://locations.dignityhealth.org/dignity-health-medical-group-ventura-camarillo-ca-MED_60","Thousand Oaks","https://locations.dignityhealth.org/dignity-health-medical-group-ventura-thousand-oaks-ca","California","https://locations.dignityhealth.org/california"
"1584541972-759","https://locations.dignityhealth.org/","San Luis Diagnostic Center","1100 Monterey Street","San Luis Obispo","CA","93401","(805) 542-9700","San Luis Diagnostic Center","https://locations.dignityhealth.org/san-luis-diagnostic-center-san-luis-obispo-ca","San Luis Obispo","https://locations.dignityhealth.org/san-luis-obispo-ca","California","https://locations.dignityhealth.org/california"
"1584542118-1212","https://locations.dignityhealth.org/","St. Joseph's Outpatient Imaging","350 W. Thomas Road","null","AZ","85013","(602) 406-6700","St. Joseph's Outpatient Imaging","https://locations.dignityhealth.org/st-joseph's-outpatient-imaging-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542074-1104","https://locations.dignityhealth.org/","Cardiac Rehabilitation - Mercy San Juan Medical Center - Carmichael, CA","6555 Coyle Ave","Carmichael","CA","95608","(916) 537-5296","Cardiac Rehabilitation - Mercy San Juan Medical Center - Carmichael, CA","https://locations.dignityhealth.org/cardiac-rehabilitation-mercy-san-juan-medical-center-carmichael-ca-carmichael-ca","Carmichael","https://locations.dignityhealth.org/carmichael-ca","California","https://locations.dignityhealth.org/california"
"1584541942-622","https://locations.dignityhealth.org/","Emergency Room - Dignity Health - St. Rose Dominican, San Martin Campus - Las Vegas, NV","8280 W Warm Springs Rd","null","NV","89113","(702) 492-8000","Emergency Room - Dignity Health - St. Rose Dominican, San Martin Campus - Las Vegas, NV","https://locations.dignityhealth.org/emergency-room-dignity-health-st-rose-dominican-san-martin-campus-las-vegas-nv-las-vegas-nv","Las Vegas","https://locations.dignityhealth.org/las-vegas-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584542053-1062","https://locations.dignityhealth.org/","Folsom Endoscopy Center","1671 Creekside Drive","Folsom","CA","95630","(916) 983-7475","Folsom Endoscopy Center","https://locations.dignityhealth.org/folsom-endoscopy-center-folsom-ca","Folsom","https://locations.dignityhealth.org/folsom-ca","California","https://locations.dignityhealth.org/california"
"1584542053-1071","https://locations.dignityhealth.org/","Outpatient Surgery Center","1650 Creekside Drive","null","CA","95630","(916) 983-7400","Outpatient Surgery Center","https://locations.dignityhealth.org/outpatient-surgery-center-folsom-ca","Folsom","https://locations.dignityhealth.org/folsom-ca","California","https://locations.dignityhealth.org/california"
"1584541983-849","https://locations.dignityhealth.org/","Methodist Hospital of Sacramento","7500 Hospital Dr.","null","CA","95823","(916) 423-3000","Methodist Hospital of Sacramento","https://locations.dignityhealth.org/methodist-hospital-of-sacramento-sacramento-ca","Sacramento","https://locations.dignityhealth.org/sacramento-ca","California","https://locations.dignityhealth.org/california"
