web-scraper-order,web-scraper-start-url,name,pagination-item,pagination-item-href,address-street,address-locality,address-state,phone-direct,website,website-href,pagination-state,pagination-state-href,pagination-county,pagination-county-href
"1584300689-5566","https://www.countyoffice.org/health-departments/","Benton County Health Department","Benton County Health Department","https://www.countyoffice.org/benton-county-health-department-bentonville-ar-5d0/","1204 Southwest 14th Street","Bentonville","Arkansas","479-271-1055","co.benton.ar.us","http://www.co.benton.ar.us/healthdepartment/default.aspx","Arkansas","https://www.countyoffice.org/ar-health-departments/","Benton County","https://www.countyoffice.org/ar-benton-county-health-departments/"
"1584291560-1146","https://www.countyoffice.org/health-departments/","Oakwood City Health Department","Oakwood City Health Department","https://www.countyoffice.org/oakwood-city-health-department-dayton-oh-80d/","30 Park Avenue","Dayton","Ohio","937-298-0402","null","","Ohio","https://www.countyoffice.org/oh-health-departments/","Montgomery County","https://www.countyoffice.org/oh-montgomery-county-health-departments/"
"1584291615-1162","https://www.countyoffice.org/health-departments/","Lorain County General Health District","Lorain County General Health District","https://www.countyoffice.org/lorain-county-general-health-district-elyria-oh-39d/","9880 Murray Ridge Road","Elyria","Ohio","440-322-6367","loraincountyhealth.com","http://www.loraincountyhealth.com/","Ohio","https://www.countyoffice.org/oh-health-departments/","Lorain County","https://www.countyoffice.org/oh-lorain-county-health-departments/"
"1584292489-1362","https://www.countyoffice.org/health-departments/","New York State Health Department","New York State Health Department","https://www.countyoffice.org/new-york-state-health-department-oneonta-ny-cb0/","28 Hill Street","Oneonta","New York","607-432-3911","null","","New York","https://www.countyoffice.org/ny-health-departments/","Otsego County","https://www.countyoffice.org/ny-otsego-county-health-departments/"
"1584289869-746","https://www.countyoffice.org/health-departments/","Andrews County Health Department","Andrews County Health Department","https://www.countyoffice.org/andrews-county-health-department-andrews-tx-521/","208 Northwest 2nd Street","Andrews","Texas","432-524-1434","co.andrews.tx.us","http://www.co.andrews.tx.us/health.htm#what","Texas","https://www.countyoffice.org/tx-health-departments/","Andrews County","https://www.countyoffice.org/tx-andrews-county-health-departments/"
"1584298926-3943","https://www.countyoffice.org/health-departments/","Florida State Health Department","Florida State Health Department","https://www.countyoffice.org/florida-state-health-department-sanford-fl-e36/","1101 East 1st Street","Sanford","Florida","407-665-3604","null","","Florida","https://www.countyoffice.org/fl-health-departments/","Seminole County","https://www.countyoffice.org/fl-seminole-county-health-departments/"
"1584290587-907","https://www.countyoffice.org/health-departments/","Florence County Health Department","Florence County Health Department","https://www.countyoffice.org/florence-county-health-department-florence-sc-3f2/","1705 West Evans Street","Florence","South Carolina","843-661-4728","null","","South Carolina","https://www.countyoffice.org/sc-health-departments/","Florence County","https://www.countyoffice.org/sc-florence-county-health-departments/"
"1584289043-509","https://www.countyoffice.org/health-departments/","Rupert Health Officer","Rupert Health Officer","https://www.countyoffice.org/rupert-health-officer-rupert-vt-28d/","187 East Street","Rupert","Vermont","802-394-7728","null","","Vermont","https://www.countyoffice.org/vt-health-departments/","Bennington County","https://www.countyoffice.org/vt-bennington-county-health-departments/"
"1584297233-3197","https://www.countyoffice.org/health-departments/","Cerro Gordo County Health Department","Cerro Gordo County Health Department","https://www.countyoffice.org/cerro-gordo-county-health-department-mason-ia-f63/","22 North Georgia Avenue","Mason","Iowa","641-421-9300","null","","Iowa","https://www.countyoffice.org/ia-health-departments/","Cerro Gordo County","https://www.countyoffice.org/ia-cerro-gordo-county-health-departments/"
"1584293054-1552","https://www.countyoffice.org/health-departments/","Dover Health Department","Dover Health Department","https://www.countyoffice.org/dover-health-department-dover-nj-855/","37 North Sussex Street","Dover","New Jersey","973-366-2200","dover.nj.us","http://www.dover.nj.us/cit-e-access/webpage.cfm?tid=17&tpid=2381","New Jersey","https://www.countyoffice.org/nj-health-departments/","Morris County","https://www.countyoffice.org/nj-morris-county-health-departments/"
"1584292689-1420","https://www.countyoffice.org/health-departments/","New York State Department Of Health","New York State Department Of Health","https://www.countyoffice.org/new-york-state-department-of-health-albany-ny-4df/","100 South Mall Arterial","Albany","New York","518-474-2011","health.state.ny.us","http://www.health.state.ny.us/","New York","https://www.countyoffice.org/ny-health-departments/","Albany County","https://www.countyoffice.org/ny-albany-county-health-departments/"
"1584298392-3826","https://www.countyoffice.org/health-departments/","East Central Health District Office","East Central Health District Office","https://www.countyoffice.org/east-central-health-district-office-augusta-ga-55e/","1916 North Leg Road","Augusta","Georgia","706-667-4255","null","","Georgia","https://www.countyoffice.org/ga-health-departments/","Richmond County","https://www.countyoffice.org/ga-richmond-county-health-departments/"
"1584290492-881","https://www.countyoffice.org/health-departments/","Richland County Health Department","Richland County Health Department","https://www.countyoffice.org/richland-county-health-department-columbia-sc-295/","200 East Hampton Way","Columbia","South Carolina","803-576-2739","null","","South Carolina","https://www.countyoffice.org/sc-health-departments/","Richland County","https://www.countyoffice.org/sc-richland-county-health-departments/"
"1584292395-1333","https://www.countyoffice.org/health-departments/","Tompkins County Health Department","Tompkins County Health Department","https://www.countyoffice.org/tompkins-county-health-department-ithaca-ny-aed/","401 Harris B Dates Drive","Ithaca","New York","607-274-6674","tompkins-co.org","http://www.tompkins-co.org/health/","New York","https://www.countyoffice.org/ny-health-departments/","Tompkins County","https://www.countyoffice.org/ny-tompkins-county-health-departments/"
"1584293315-1656","https://www.countyoffice.org/health-departments/","Saunders County Health Department","Saunders County Health Department","https://www.countyoffice.org/saunders-county-health-department-wahoo-ne-bce/","1102 North Chestnut Street","Wahoo","Nebraska","402-443-4603","null","","Nebraska","https://www.countyoffice.org/ne-health-departments/","Saunders County","https://www.countyoffice.org/ne-saunders-county-health-departments/"
"1584295300-2164","https://www.countyoffice.org/health-departments/","Melrose Board Of Health","Melrose Board Of Health","https://www.countyoffice.org/melrose-board-of-health-melrose-ma-d01/","562 Main Street","Melrose","Massachusetts","781-979-4130","cityofmelrose.org","http://www.cityofmelrose.org/departments/health.htm","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Middlesex County","https://www.countyoffice.org/ma-middlesex-county-health-departments/"
"1584295155-2101","https://www.countyoffice.org/health-departments/","Marion Board Of Health","Marion Board Of Health","https://www.countyoffice.org/marion-board-of-health-marion-ma-cab/","2 Spring Street","Marion","Massachusetts","508-748-3533","marionma.gov","http://www.marionma.gov/pages/marionma_boh/index","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Plymouth County","https://www.countyoffice.org/ma-plymouth-county-health-departments/"
"1584293257-1637","https://www.countyoffice.org/health-departments/","Northwest Bergen Regional Health Commission","Northwest Bergen Regional Health Commission","https://www.countyoffice.org/northwest-bergen-regional-health-commission-waldwick-nj-205/","20 West Prospect Street","Waldwick","New Jersey","201-445-7217","nwbrhc.org","http://www.nwbrhc.org/","New Jersey","https://www.countyoffice.org/nj-health-departments/","Bergen County","https://www.countyoffice.org/nj-bergen-county-health-departments/"
"1584295238-2138","https://www.countyoffice.org/health-departments/","Franklin Board Of Health","Franklin Board Of Health","https://www.countyoffice.org/franklin-board-of-health-franklin-ma-963/","355 East Central Street","Franklin","Massachusetts","508-520-4905","franklinma.virtualtownhall.net","http://franklinma.virtualtownhall.net/pages/franklinma_health/index","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Norfolk County","https://www.countyoffice.org/ma-norfolk-county-health-departments/"
"1584289192-567","https://www.countyoffice.org/health-departments/","Salt Lake County Health Department","Salt Lake County Health Department","https://www.countyoffice.org/salt-lake-county-health-department-south-salt-lake-ut-abe/","3690 Main Street","South Salt Lake","Utah","385-468-4000","null","","Utah","https://www.countyoffice.org/ut-health-departments/","Salt Lake County","https://www.countyoffice.org/ut-salt-lake-county-health-departments/"
"1584291467-1121","https://www.countyoffice.org/health-departments/","Summit County Health Department","Summit County Health Department","https://www.countyoffice.org/summit-county-health-department-twinsburg-oh-b90/","8776 Harvard Road","Twinsburg","Ohio","330-425-2699","null","","Ohio","https://www.countyoffice.org/oh-health-departments/","Summit County","https://www.countyoffice.org/oh-summit-county-health-departments/"
"1584297874-3674","https://www.countyoffice.org/health-departments/","Village-Schaumburg Health Department","Village-Schaumburg Health Department","https://www.countyoffice.org/village-schaumburg-health-department-schaumburg-il-a6c/","521 East Schaumburg Road","Schaumburg","Illinois","847-923-3760","null","","Illinois","https://www.countyoffice.org/il-health-departments/","Cook County","https://www.countyoffice.org/il-cook-county-health-departments/"
"1584293757-1770","https://www.countyoffice.org/health-departments/","Shelby County Health Department","Shelby County Health Department","https://www.countyoffice.org/shelby-county-health-department-shelbyville-mo-089/","306 East Main Street","Shelbyville","Missouri","573-633-2353","null","","Missouri","https://www.countyoffice.org/mo-health-departments/","Shelby County","https://www.countyoffice.org/mo-shelby-county-health-departments/"
"1584298993-3969","https://www.countyoffice.org/health-departments/","Pinellas County Health Department","Pinellas County Health Department","https://www.countyoffice.org/pinellas-county-health-department-pinellas-park-fl-d25/","6350 76th Avenue North","Pinellas Park","Florida","727-547-7780","null","","Florida","https://www.countyoffice.org/fl-health-departments/","Pinellas County","https://www.countyoffice.org/fl-pinellas-county-health-departments/"
"1584290415-863","https://www.countyoffice.org/health-departments/","South Dakota State Health Department","South Dakota State Health Department","https://www.countyoffice.org/south-dakota-state-health-department-vermillion-sd-bb5/","Ste 100, 211 W Main St","Vermillion","South Dakota","605-677-6767","null","","South Dakota","https://www.countyoffice.org/sd-health-departments/","Clay County","https://www.countyoffice.org/sd-clay-county-health-departments/"
"1584299650-4212","https://www.countyoffice.org/health-departments/","Stratford Town Health Department","Stratford Town Health Department","https://www.countyoffice.org/stratford-town-health-department-stratford-ct-afd/","150 Lincoln Street","Stratford","Connecticut","203-381-6922","null","","Connecticut","https://www.countyoffice.org/ct-health-departments/","Fairfield County","https://www.countyoffice.org/ct-fairfield-county-health-departments/"
"1584298156-3762","https://www.countyoffice.org/health-departments/","Idaho Department Of Health And Welfare","Idaho Department Of Health And Welfare","https://www.countyoffice.org/idaho-department-of-health-and-welfare-boise-id-607/","450 West State Street","Boise","Idaho","208-334-5500","healthandwelfare.idaho.gov","http://healthandwelfare.idaho.gov/health/tabid/60/default.aspx","Idaho","https://www.countyoffice.org/id-health-departments/","Ada County","https://www.countyoffice.org/id-ada-county-health-departments/"
"1584294226-1871","https://www.countyoffice.org/health-departments/","Panola County Health Department","Panola County Health Department","https://www.countyoffice.org/panola-county-health-department-batesville-ms-4d9/","381 U.s. 51","Batesville","Mississippi","662-563-4616","msdh.ms.gov","http://www.msdh.ms.gov/msdhsite/_static/19,821,166.html","Mississippi","https://www.countyoffice.org/ms-health-departments/","Panola County","https://www.countyoffice.org/ms-panola-county-health-departments/"
"1584296441-2811","https://www.countyoffice.org/health-departments/","Kentucky Health Department","Kentucky Health Department","https://www.countyoffice.org/kentucky-health-department-covington-ky-2c8/","2002 Madison Avenue","Covington","Kentucky","859-431-3345","null","","Kentucky","https://www.countyoffice.org/ky-health-departments/","Kenton County","https://www.countyoffice.org/ky-kenton-county-health-departments/"
"1584299308-4079","https://www.countyoffice.org/health-departments/","Pensacola Health Department","Pensacola Health Department","https://www.countyoffice.org/pensacola-health-department-pensacola-fl-d0c/","50 West Maxwell Street","Pensacola","Florida","850-595-8895","null","","Florida","https://www.countyoffice.org/fl-health-departments/","Escambia County","https://www.countyoffice.org/fl-escambia-county-health-departments/"
"1584290442-870","https://www.countyoffice.org/health-departments/","Aberdeen City Health Department","Aberdeen City Health Department","https://www.countyoffice.org/aberdeen-city-health-department-aberdeen-sd-422/","123 South Lincoln Street","Aberdeen","South Dakota","605-626-7017","null","","South Dakota","https://www.countyoffice.org/sd-health-departments/","Brown County","https://www.countyoffice.org/sd-brown-county-health-departments/"
"1584300097-5048","https://www.countyoffice.org/health-departments/","San Bernardino Public Health Department","San Bernardino Public Health Department","https://www.countyoffice.org/san-bernardino-public-health-department-san-bernardino-ca-02a/","351 North Mountain View Avenue","San Bernardino","California","909-387-6219","co.san-bernardino.ca.us","http://www.co.san-bernardino.ca.us/pubhlth/","California","https://www.countyoffice.org/ca-health-departments/","San Bernardino County","https://www.countyoffice.org/ca-san-bernardino-county-health-departments/"
"1584288355-260","https://www.countyoffice.org/health-departments/","Middlesex Health Department","Middlesex Health Department","https://www.countyoffice.org/middlesex-health-department-saluda-va-e24/","2780 General Puller Highway","Saluda","Virginia","804-758-0330","null","","Virginia","https://www.countyoffice.org/va-health-departments/","Middlesex County","https://www.countyoffice.org/va-middlesex-county-health-departments/"
"1584295316-2172","https://www.countyoffice.org/health-departments/","Littleton Board Of Health","Littleton Board Of Health","https://www.countyoffice.org/littleton-board-of-health-littleton-ma-c19/","37 Shattuck Street","Littleton","Massachusetts","978-540-2430","littletonma.org","http://www.littletonma.org/content/49/3594/69/default.aspx","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Middlesex County","https://www.countyoffice.org/ma-middlesex-county-health-departments/"
"1584291691-1182","https://www.countyoffice.org/health-departments/","Hamilton County General Health District","Hamilton County General Health District","https://www.countyoffice.org/hamilton-county-general-health-district-cincinnati-oh-24f/","250 William Howard Taft Road","Cincinnati","Ohio","513-946-7800","hamiltoncountyhealth.org","http://www.hamiltoncountyhealth.org/","Ohio","https://www.countyoffice.org/oh-health-departments/","Hamilton County","https://www.countyoffice.org/oh-hamilton-county-health-departments/"
"1584293271-1644","https://www.countyoffice.org/health-departments/","Fort Lee Health Department","Fort Lee Health Department","https://www.countyoffice.org/fort-lee-health-department-fort-lee-nj-40f/","309 Main Street","Fort Lee","New Jersey","201-592-3500","fortleenj.net","http://www.fortleenj.net/departments/health/health.html","New Jersey","https://www.countyoffice.org/nj-health-departments/","Bergen County","https://www.countyoffice.org/nj-bergen-county-health-departments/"
"1584289065-519","https://www.countyoffice.org/health-departments/","Town Health Officer - Whiting","Town Health Officer - Whiting","https://www.countyoffice.org/town-health-officer-whiting-whiting-vt-2c3/","29 South Main Street","Whiting","Vermont","802-623-7813","null","","Vermont","https://www.countyoffice.org/vt-health-departments/","Addison County","https://www.countyoffice.org/vt-addison-county-health-departments/"
"1584295106-2079","https://www.countyoffice.org/health-departments/","Revere Board Of Health","Revere Board Of Health","https://www.countyoffice.org/revere-board-of-health-revere-ma-da3/","249 Broadway","Revere","Massachusetts","781-286-8176","revere.org","http://www.revere.org/departments_fr.htm","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Suffolk County","https://www.countyoffice.org/ma-suffolk-county-health-departments/"
"1584290558-898","https://www.countyoffice.org/health-departments/","Loris Health Department","Loris Health Department","https://www.countyoffice.org/loris-health-department-loris-sc-ede/","3811 Walnut Street","Loris","South Carolina","843-756-4027","scdhec.gov","http://www.scdhec.gov/health/region6/lorishd.htm","South Carolina","https://www.countyoffice.org/sc-health-departments/","Horry County","https://www.countyoffice.org/sc-horry-county-health-departments/"
"1584290005-779","https://www.countyoffice.org/health-departments/","Obion County Health Department","Obion County Health Department","https://www.countyoffice.org/obion-county-health-department-union-tn-ba2/","1008 Mount Zion Road","Union","Tennessee","731-885-8722","null","","Tennessee","https://www.countyoffice.org/tn-health-departments/","Obion County","https://www.countyoffice.org/tn-obion-county-health-departments/"
"1584294426-1920","https://www.countyoffice.org/health-departments/","Chickasaw County Health Department","Chickasaw County Health Department","https://www.countyoffice.org/chickasaw-county-health-department-okolona-ms-c9c/","325 East Main Street","Okolona","Mississippi","662-447-5492","null","","Mississippi","https://www.countyoffice.org/ms-health-departments/","Chickasaw County","https://www.countyoffice.org/ms-chickasaw-county-health-departments/"
"1584299956-5003","https://www.countyoffice.org/health-departments/","Ventura County Health Department","Ventura County Health Department","https://www.countyoffice.org/ventura-county-health-department-oxnard-ca-cd3/","4333 East Vineyard Avenue","Oxnard","California","805-981-5521","null","","California","https://www.countyoffice.org/ca-health-departments/","Ventura County","https://www.countyoffice.org/ca-ventura-county-health-departments/"
"1584298513-3848","https://www.countyoffice.org/health-departments/","Georgia State Health Department","Georgia State Health Department","https://www.countyoffice.org/georgia-state-health-department-dublin-ga-344/","912 Bellevue Avenue","Dublin","Georgia","478-274-7616","null","","Georgia","https://www.countyoffice.org/ga-health-departments/","Laurens County","https://www.countyoffice.org/ga-laurens-county-health-departments/"
"1584290434-867","https://www.countyoffice.org/health-departments/","South Dakota Health Department","South Dakota Health Department","https://www.countyoffice.org/south-dakota-health-department-chamberlain-sd-5fb/","704 North Main Street","Chamberlain","South Dakota","605-734-4550","null","","South Dakota","https://www.countyoffice.org/sd-health-departments/","Brule County","https://www.countyoffice.org/sd-brule-county-health-departments/"
"1584290926-999","https://www.countyoffice.org/health-departments/","Pennsylvania Department Of Health","Pennsylvania Department Of Health","https://www.countyoffice.org/pennsylvania-department-of-health-bloomsburg-pa-5fe/","1000 Market Street","Bloomsburg","Pennsylvania","570-387-4257","webserver.health.state.pa.us","http://webserver.health.state.pa.us/health/comm/comm.asp?county=columbia","Pennsylvania","https://www.countyoffice.org/pa-health-departments/","Columbia County","https://www.countyoffice.org/pa-columbia-county-health-departments/"
"1584295669-2325","https://www.countyoffice.org/health-departments/","Massachusetts Health Department","Massachusetts Health Department","https://www.countyoffice.org/massachusetts-health-department-taunton-ma-b39/","60 Hodges Avenue","Taunton","Massachusetts","508-824-2058","null","","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Bristol County","https://www.countyoffice.org/ma-bristol-county-health-departments/"
"1584294392-1913","https://www.countyoffice.org/health-departments/","Mississippi State Government Public Health District 8 Southeast","Mississippi State Government Public Health District 8 Southeast","https://www.countyoffice.org/mississippi-state-government-public-health-district-8-southeast-hattiesburg-ms-a4a/","602 Adeline Street","Hattiesburg","Mississippi","601-544-6766","msdh.ms.gov","http://msdh.ms.gov/msdhsite/_static/19,866,166.html","Mississippi","https://www.countyoffice.org/ms-health-departments/","Forrest County","https://www.countyoffice.org/ms-forrest-county-health-departments/"
"1584289072-522","https://www.countyoffice.org/health-departments/","Town Health Officer - Vergennes","Town Health Officer - Vergennes","https://www.countyoffice.org/town-health-officer-vergennes-vergennes-vt-1d6/","120 Main Street","Vergennes","Vermont","802-877-2841","null","","Vermont","https://www.countyoffice.org/vt-health-departments/","Addison County","https://www.countyoffice.org/vt-addison-county-health-departments/"
"1584297888-3683","https://www.countyoffice.org/health-departments/","Melrose Park Health Department","Melrose Park Health Department","https://www.countyoffice.org/melrose-park-health-department-melrose-park-il-f81/","3601 West Lake Street","Melrose Park","Illinois","708-344-1210","null","","Illinois","https://www.countyoffice.org/il-health-departments/","Cook County","https://www.countyoffice.org/il-cook-county-health-departments/"
"1584294711-1967","https://www.countyoffice.org/health-departments/","Wayne County Health Department","Wayne County Health Department","https://www.countyoffice.org/wayne-county-health-department-belleville-mi-500/","19130 Sumpter Road","Belleville","Michigan","734-697-9455","null","","Michigan","https://www.countyoffice.org/mi-health-departments/","Wayne County","https://www.countyoffice.org/mi-wayne-county-health-departments/"
"1584290034-785","https://www.countyoffice.org/health-departments/","Maury County Health Department","Maury County Health Department","https://www.countyoffice.org/maury-county-health-department-columbia-tn-297/","100 Blythewood Drive","Columbia","Tennessee","931-388-5757","null","","Tennessee","https://www.countyoffice.org/tn-health-departments/","Maury County","https://www.countyoffice.org/tn-maury-county-health-departments/"
"1584295285-2157","https://www.countyoffice.org/health-departments/","North Reading Board Of Health","North Reading Board Of Health","https://www.countyoffice.org/north-reading-board-of-health-north-reading-ma-e2e/","235 North Street","North Reading","Massachusetts","978-664-6042","northreadingma.gov","http://www.northreadingma.gov/pages/nreadingma_health/index","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Middlesex County","https://www.countyoffice.org/ma-middlesex-county-health-departments/"
"1584294002-1825","https://www.countyoffice.org/health-departments/","Missouri Health Department","Missouri Health Department","https://www.countyoffice.org/missouri-health-department-cameron-mo-5bf/","207 McElwain Drive","Cameron","Missouri","816-632-2107","null","","Missouri","https://www.countyoffice.org/mo-health-departments/","DeKalb County","https://www.countyoffice.org/mo-dekalb-county-health-departments/"
"1584300321-5129","https://www.countyoffice.org/health-departments/","Kern County Department Of Public Health","Kern County Department Of Public Health","https://www.countyoffice.org/kern-county-department-of-public-health-bakersfield-ca-570/","1800 Mount Vernon Avenue","Bakersfield","California","661-868-0306","kernpublichealth.com","http://www.kernpublichealth.com/","California","https://www.countyoffice.org/ca-health-departments/","Kern County","https://www.countyoffice.org/ca-kern-county-health-departments/"
"1584295253-2145","https://www.countyoffice.org/health-departments/","Brookline Health Department","Brookline Health Department","https://www.countyoffice.org/brookline-health-department-brookline-ma-57b/","11 Pierce Street","Brookline","Massachusetts","617-730-2300","brooklinema.gov","http://www.brooklinema.gov/index.php?option=com_content&view=article&id=94&itemid=130","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Norfolk County","https://www.countyoffice.org/ma-norfolk-county-health-departments/"
"1584296569-2846","https://www.countyoffice.org/health-departments/","Lexington Fayette County Health Department","Lexington Fayette County Health Department","https://www.countyoffice.org/lexington-fayette-county-health-department-lexington-ky-bf3/","650 Newtown Pike","Lexington","Kentucky","859-252-2371","lexingtonhealthdepartment.org","http://www.lexingtonhealthdepartment.org/","Kentucky","https://www.countyoffice.org/ky-health-departments/","Fayette County","https://www.countyoffice.org/ky-fayette-county-health-departments/"
"1584295061-2059","https://www.countyoffice.org/health-departments/","Grafton Board Of Health","Grafton Board Of Health","https://www.countyoffice.org/grafton-board-of-health-grafton-ma-9bd/","30 Providence Road","Grafton","Massachusetts","508-839-5335","town.grafton.ma.us","http://www.town.grafton.ma.us/public_documents/graftonma_health/index","Massachusetts","https://www.countyoffice.org/ma-health-departments/","Worcester County","https://www.countyoffice.org/ma-worcester-county-health-departments/"
"1584292369-1326","https://www.countyoffice.org/health-departments/","Westchester County Department Of Health","Westchester County Department Of Health","https://www.countyoffice.org/westchester-county-department-of-health-new-rochelle-ny-df7/","145 Huguenot Street","New Rochelle","New York","914-813-5000","co.westchester.ny.us","http://www.co.westchester.ny.us/health/default.htm","New York","https://www.countyoffice.org/ny-health-departments/","Westchester County","https://www.countyoffice.org/ny-westchester-county-health-departments/"
"1584296382-2798","https://www.countyoffice.org/health-departments/","Magoffin County Health Department","Magoffin County Health Department","https://www.countyoffice.org/magoffin-county-health-department-salyersville-ky-02c/","723 Parkway Drive","Salyersville","Kentucky","606-349-6212","null","","Kentucky","https://www.countyoffice.org/ky-health-departments/","Magoffin County","https://www.countyoffice.org/ky-magoffin-county-health-departments/"
"1584297756-3288","https://www.countyoffice.org/health-departments/","Lake County Health Department","Lake County Health Department","https://www.countyoffice.org/lake-county-health-department-libertyville-il-ea9/","18698 West Peterson Road","Libertyville","Illinois","847-949-9925","null","","Illinois","https://www.countyoffice.org/il-health-departments/","Lake County","https://www.countyoffice.org/il-lake-county-health-departments/"
"1584294398-1915","https://www.countyoffice.org/health-departments/","Desoto County Health Department","Desoto County Health Department","https://www.countyoffice.org/desoto-county-health-department-hernando-ms-a74/","3212 Highway 51 South","Hernando","Mississippi","662-429-9814","desotoms.com","http://www.desotoms.com/departments/health-and-human-services/health-department","Mississippi","https://www.countyoffice.org/ms-health-departments/","DeSoto County","https://www.countyoffice.org/ms-desoto-county-health-departments/"
"1584299825-4616","https://www.countyoffice.org/health-departments/","Jefferson County Health Department","Jefferson County Health Department","https://www.countyoffice.org/jefferson-county-health-department-edgewater-co-36f/","1711 Sheridan Boulevard","Edgewater","Colorado","303-271-5780","null","","Colorado","https://www.countyoffice.org/co-health-departments/","Jefferson County","https://www.countyoffice.org/co-jefferson-county-health-departments/"
"1584297293-3201","https://www.countyoffice.org/health-departments/","Vermillion County Health Department","Vermillion County Health Department","https://www.countyoffice.org/vermillion-county-health-department-clinton-in-272/","257 Walnut Street","Clinton","Indiana","765-832-3622","null","","Indiana","https://www.countyoffice.org/in-health-departments/","Vermillion County","https://www.countyoffice.org/in-vermillion-county-health-departments/"
"1584293740-1765","https://www.countyoffice.org/health-departments/","Park Hills Health Department","Park Hills Health Department","https://www.countyoffice.org/park-hills-health-department-park-hills-mo-ceb/","142 Staples Drive","Park Hills","Missouri","573-431-0361","null","","Missouri","https://www.countyoffice.org/mo-health-departments/","St. Francois County","https://www.countyoffice.org/mo-st-francois-county-health-departments/"
"1584299224-4051","https://www.countyoffice.org/health-departments/","Highlands County Health Department","Highlands County Health Department","https://www.countyoffice.org/highlands-county-health-department-avon-park-fl-4bb/","400 South Lake Avenue","Avon Park","Florida","863-382-7355","null","","Florida","https://www.countyoffice.org/fl-health-departments/","Highlands County","https://www.countyoffice.org/fl-highlands-county-health-departments/"
"1584297692-3275","https://www.countyoffice.org/health-departments/","Montgomery County Health Department","Montgomery County Health Department","https://www.countyoffice.org/montgomery-county-health-department-litchfield-il-eb5/","317 West Union Avenue","Litchfield","Illinois","217-324-3430","null","","Illinois","https://www.countyoffice.org/il-health-departments/","Montgomery County","https://www.countyoffice.org/il-montgomery-county-health-departments/"
"1584298099-3748","https://www.countyoffice.org/health-departments/","North Central Health District - Clearwater County","North Central Health District - Clearwater County","https://www.countyoffice.org/north-central-health-district-clearwater-county-orofino-id-e78/","105 115th Street","Orofino","Idaho","208-476-7850","idahopublichealth.com","http://idahopublichealth.com/contact/","Idaho","https://www.countyoffice.org/id-health-departments/","Clearwater County","https://www.countyoffice.org/id-clearwater-county-health-departments/"
"1584293449-1685","https://www.countyoffice.org/health-departments/","Butte Health Department","Butte Health Department","https://www.countyoffice.org/butte-health-department-butte-mt-5a6/","25 West Front Street","Butte","Montana","406-497-5070","null","","Montana","https://www.countyoffice.org/mt-health-departments/","Silver Bow County","https://www.countyoffice.org/mt-silver-bow-county-health-departments/"
"1584293592-1726","https://www.countyoffice.org/health-departments/","Gallatin City-County Health Department","Gallatin City-County Health Department","https://www.countyoffice.org/gallatin-city-county-health-department-bozeman-mt-62c/","215 West Mendenhall Street","Bozeman","Montana","406-582-3100","gallatin.mt.gov","http://www.gallatin.mt.gov/public_documents/gallatincomt_health/health","Montana","https://www.countyoffice.org/mt-health-departments/","Gallatin County","https://www.countyoffice.org/mt-gallatin-county-health-departments/"
"1584299243-4058","https://www.countyoffice.org/health-departments/","Hendry County Health Department","Hendry County Health Department","https://www.countyoffice.org/hendry-county-health-department-clewiston-fl-26e/","1100 South Olympia Street","Clewiston","Florida","863-983-1408","null","","Florida","https://www.countyoffice.org/fl-health-departments/","Hendry County","https://www.countyoffice.org/fl-hendry-county-health-departments/"
"1584294778-1984","https://www.countyoffice.org/health-departments/","West Branch Health Department","West Branch Health Department","https://www.countyoffice.org/west-branch-health-department-west-branch-mi-c24/","630 Progress Street","West Branch","Michigan","989-345-5020","null","","Michigan","https://www.countyoffice.org/mi-health-departments/","Ogemaw County","https://www.countyoffice.org/mi-ogemaw-county-health-departments/"
"1584298304-3804","https://www.countyoffice.org/health-departments/","Troup County Health Department","Troup County Health Department","https://www.countyoffice.org/troup-county-health-department-hogansville-ga-146/","407 Church Street","Hogansville","Georgia","706-637-4834","null","","Georgia","https://www.countyoffice.org/ga-health-departments/","Troup County","https://www.countyoffice.org/ga-troup-county-health-departments/"
"1584297299-3203","https://www.countyoffice.org/health-departments/","Vanderburgh County Health Department","Vanderburgh County Health Department","https://www.countyoffice.org/vanderburgh-county-health-department-evansville-in-3ba/","420 Mulberry Street","Evansville","Indiana","812-435-5684","vanderburghgov.org","http://www.vanderburghgov.org/index.aspx?page=77","Indiana","https://www.countyoffice.org/in-health-departments/","Vanderburgh County","https://www.countyoffice.org/in-vanderburgh-county-health-departments/"
"1584288153-213","https://www.countyoffice.org/health-departments/","Benton Franklin Health District","Benton Franklin Health District","https://www.countyoffice.org/benton-franklin-health-district-kennewick-wa-b4d/","7102 West Okanogan Place","Kennewick","Washington","509-460-4200","bfhd.wa.gov","http://www.bfhd.wa.gov/base/index.php","Washington","https://www.countyoffice.org/wa-health-departments/","Benton County","https://www.countyoffice.org/wa-benton-county-health-departments/"
